id;exp_type;start_date;end_date;report;report_content_type;created_date;created_by;last_modified_date;last_modified_by
1;RECIEPT;2020-09-04;2020-09-04;../fake-data/blob/hipster.png;image/png;2020-09-04T16:25:15;Fantastic Fresh Ball Reverse-engineered;2020-09-04T09:48:39;SQL parse
2;INVOICE;2020-09-04;2020-09-04;../fake-data/blob/hipster.png;image/png;2020-09-04T16:42:46;Small Concrete Hat copy Wooden;2020-09-03T22:57:04;auxiliary
3;RECIEPT;2020-09-04;2020-09-04;../fake-data/blob/hipster.png;image/png;2020-09-04T07:49:19;Avon Borders Qatari Rial;2020-09-04T13:45:22;Handcrafted Louisiana
4;INVOICE;2020-09-04;2020-09-04;../fake-data/blob/hipster.png;image/png;2020-09-04T20:45:26;Manager;2020-09-03T23:00:48;Cambridgeshire Program
5;INVOICE;2020-09-04;2020-09-04;../fake-data/blob/hipster.png;image/png;2020-09-04T17:08:51;ROI;2020-09-04T03:30:19;Future-proofed Lithuania Cambridgeshire
6;INVOICE;2020-09-04;2020-09-04;../fake-data/blob/hipster.png;image/png;2020-09-04T20:07:17;Principal Tennessee;2020-09-04T09:52:47;Buckinghamshire Oregon technologies
7;RECIEPT;2020-09-04;2020-09-04;../fake-data/blob/hipster.png;image/png;2020-09-04T10:18:52;Wells withdrawal Soft;2020-09-04T03:46:10;payment
8;RECIEPT;2020-09-04;2020-09-04;../fake-data/blob/hipster.png;image/png;2020-09-04T04:15:41;Greenland overriding channels;2020-09-04T13:54:02;Syrian Arab Republic back-end Fresh
9;INVOICE;2020-09-04;2020-09-04;../fake-data/blob/hipster.png;image/png;2020-09-04T11:16:16;Square;2020-09-04T07:06:13;Grocery payment intermediate
10;RECIEPT;2020-09-03;2020-09-04;../fake-data/blob/hipster.png;image/png;2020-09-04T17:30:13;compelling Palladium Ergonomic Cotton Car;2020-09-04T17:08:19;Bedfordshire Bermudian Dollar (customarily known as Bermuda Dollar) CSS
