id;rev_type;amt;date;jhi_desc;created_date;created_by;last_modified_date;last_modified_by
1;SEHAJ_PATH_BHETA;30367;2020-09-02;Generic;2020-09-02T03:56:10;Checking Account Lebanese Pound;2020-09-02T09:23:26;Libyan Arab Jamahiriya connect Legacy
2;SEHAJ_PATH_BHETA;25117;2020-09-01;Tools;2020-09-01T18:50:16;Central Avon Refined Plastic Soap;2020-09-02T16:50:07;deploy orchestrate
3;GOLAK;75501;2020-09-02;Refined Wooden Car turquoise Fiji;2020-09-02T08:35:36;infrastructure Clothing Accounts;2020-09-01T21:12:40;deposit Buckinghamshire cross-platform
4;GOLAK;296;2020-09-02;Phased;2020-09-02T09:26:18;Investment Account monetize Pass;2020-09-02T03:47:43;system online
5;SEHAJ_PATH_BHETA;88292;2020-09-02;interactive Borders;2020-09-01T20:56:56;solution Ohio Shoes;2020-09-01T22:56:44;Sleek Cotton Gloves
6;SEHAJ_PATH_BHETA;48837;2020-09-02;paradigms Kiribati;2020-09-01T22:08:40;hacking Assimilated;2020-09-02T08:27:59;bypass process improvement
7;PROGRAM;90996;2020-09-02;Arkansas;2020-09-02T06:56:23;Steel;2020-09-01T20:32:09;Programmable
8;SEHAJ_PATH_BHETA;20337;2020-09-02;Seamless well-modulated;2020-09-02T16:46:23;Electronics Maryland;2020-09-02T14:03:25;Games Corporate
9;SEHAJ_PATH_BHETA;74776;2020-09-02;Sweden strategy superstructure;2020-09-01T21:31:44;Licensed matrix;2020-09-01T19:14:09;disintermediate Crossing data-warehouse
10;SEHAJ_PATH_BHETA;95697;2020-09-01;invoice deposit Knoll;2020-09-02T16:20:44;Steel Supervisor;2020-09-01T20:49:55;Mission
