id;name;jhi_desc;total_roul;created_date;created_by;last_modified_date;last_modified_by
1;context-sensitive New York lime;Metal;quantifying Iowa;2020-09-02T16:41:52;purple Computer Pants;2020-09-01T19:05:40;yellow JSON
2;Refined Rubber Salad;installation user-centric microchip;Sausages orchid Buckinghamshire;2020-09-02T03:39:55;navigate enable Montana;2020-09-01T19:53:28;Upgradable
3;lime Developer Brand;PNG Kroon;Hawaii UIC-Franc;2020-09-01T21:02:36;Turkmenistan;2020-09-02T11:24:46;SDR
4;Movies;PCI Hat;Berkshire Accountability orchestration;2020-09-02T04:04:56;bluetooth;2020-09-01T23:52:51;Specialist
5;Executive Soft;Wyoming;leading-edge Delaware compress;2020-09-01T21:25:03;functionalities Credit Card Account Clothing;2020-09-01T19:01:20;optical Up-sized
6;Grove;mesh virtual;Tasty Games;2020-09-01T19:08:41;Paradigm;2020-09-02T14:25:26;installation
7;users Panama;paradigms syndicate;Paradigm;2020-09-02T11:14:24;connect;2020-09-01T23:15:49;mindshare well-modulated
8;application Small Granite Pants bluetooth;Dynamic PNG Plastic;XML;2020-09-02T04:21:52;static Metal;2020-09-02T13:58:01;hierarchy synthesizing
9;Nevada;Springs heuristic;Senior;2020-09-02T12:04:52;Steel transmitter synergize;2020-09-02T05:27:40;generate protocol
10;Keyboard Toys Bacon;Mobility;Money Market Account maroon;2020-09-01T19:46:14;adapter;2020-09-02T06:07:23;Grocery Mouse
