id;exp_type;amt;date;jhi_desc;created_date;created_by;last_modified_date;last_modified_by
1;VOUCHER;65725;2020-09-02;copy niches Bacon;2020-09-02T07:50:50;Qatari Rial secured line;2020-09-02T14:02:16;index Producer
2;INVOICE;27727;2020-09-02;encryption Bedfordshire;2020-09-01T23:37:30;Handmade Plastic Chicken;2020-09-01T23:01:16;matrix architectures
3;INVOICE;95338;2020-09-02;synergize;2020-09-01T22:08:57;unleash Sausages;2020-09-02T02:17:57;Distributed Wyoming
4;INVOICE;29772;2020-09-01;Croatian Kuna Ergonomic;2020-09-02T17:53:33;transmit;2020-09-02T03:00:13;mint green Alabama
5;INVOICE;61122;2020-09-01;relationships;2020-09-01T19:32:32;Mills;2020-09-01T21:06:06;Checking Account
6;RECIEPT;67246;2020-09-02;hack COM Architect;2020-09-02T10:01:27;Credit Card Account;2020-09-02T03:58:47;evolve
7;RECIEPT;42753;2020-09-02;redundant HTTP;2020-09-02T08:48:02;deliverables Electronics Investment Account;2020-09-01T21:52:22;Lempira portal
8;INVOICE;81656;2020-09-02;Ergonomic;2020-09-02T15:36:38;Associate Guinea Franc Metical;2020-09-02T10:44:26;Configuration initiatives
9;RECIEPT;11290;2020-09-02;Ethiopian Birr COM;2020-09-02T18:23:22;synthesize;2020-09-02T04:11:35;Generic
10;RECIEPT;39658;2020-09-02;generate Georgia;2020-09-02T17:58:40;Producer;2020-09-02T07:37:36;Technician grid-enabled
